Topo,Controller,Failure,AVG,N,CI95,CI%,RangeLower,RangeUpper
TN,reactive,fail_1,59.555660,100,2.280394,3.829014,57.275266,61.836054
TN,reactive,fail_2,60.419753,300,6.833545,11.310117,53.586209,67.253298
TN,reactive,fail_3,59.202930,100,1.472313,2.486892,57.730617,60.675243
TN,proactive,fail_1,5.945160,100,0.104376,1.755648,5.840784,6.049536
TN,proactive,fail_2,5.868273,300,0.057392,0.978011,5.810881,5.925666
TN,proactive,fail_3,5.807800,100,0.092078,1.585417,5.715722,5.899878
TN,proactive_alt,fail_1,5.843020,100,0.121624,2.081530,5.721396,5.964644
TN,proactive_alt,fail_2,5.823543,300,0.056942,0.977796,5.766601,5.880486
TN,proactive_alt,fail_3,5.899680,100,0.089658,1.519708,5.810022,5.989338
ETN,reactive,fail_4,62.474800,100,1.465177,2.345228,61.009623,63.939977
ETN,reactive,fail_5,61.615890,100,2.154648,3.496903,59.461242,63.770538
ETN,proactive,fail_4,6.145010,100,0.081594,1.327814,6.063416,6.226604
ETN,proactive,fail_5,6.283490,100,0.097672,1.554428,6.185818,6.381162
ETN,proactive_alt,fail_4,6.174230,100,0.105469,1.708218,6.068761,6.279699
ETN,proactive_alt,fail_5,6.209320,100,0.157104,2.530133,6.052216,6.366424
TPSFN,reactive,fail_4,63.413440,100,2.403868,3.790786,61.009572,65.817308
TPSFN,reactive,fail_5,63.121970,100,2.207592,3.497343,60.914378,65.329562
TPSFN,proactive,fail_4,7.233670,100,0.271330,3.750934,6.962340,7.505000
TPSFN,proactive,fail_5,7.559370,100,0.327034,4.326208,7.232336,7.886404
TPSFN,proactive_alt,fail_4,7.820430,100,0.342854,4.384077,7.477576,8.163284
TPSFN,proactive_alt,fail_5,8.353010,100,0.394411,4.721780,7.958599,8.747421
FTN,reactive,fail_6,42.891035,400,0.770117,1.795520,42.120918,43.661152
FTN,proactive,fail_6,19.440615,400,0.437007,2.247908,19.003608,19.877622
FTN,proactive_alt,fail_6,20.680605,400,0.470692,2.276008,20.209913,21.151297
